tên đường,bắt đầu,kết thúc,giá đất ở v1,giá đất ở v2,giá đất ở v3,giá đất ở v4,giá đất thương mai v1,giá đất thương mại v2,giá đất thương mại v3,giá đất thương mại v4,giá đất kinh doanh phi nông nghiệp v1,giá đất kinh doanh phi nông nghiệp v2,giá đất kinh doanh phi nông nghiệp v3,giá đất kinh doanh phi nông nghiệp v4,quận
doi can,Ngọc Hà,Liễu Giai,60320,30763,24731,21715,39208,19996,16075,14115,30400,15447,12653,10517,ba dinh
doi can,Liễu Giai,Đường Bưởi,51040,27051,21947,19395,33176,17583,14266,12607,26291,14132,11420,9983,ba dinh
doi nhan,Đầu đường,Cuối đường,32480,18189,14941,13317,21112,11823,9712,8656,16433,9860,8299,7476,ba dinh
duong buoi,Đầu đường,Cuối đường,41760,22550,18374,16286,27144,14658,11943,10586,21363,12160,10024,8915,ba dinh
doc lap,Đầu đường,Cuối đường,129920,61062,48070,41574,84448,39691,31246,27023,51960,23382,18187,15588,ba dinh
giang van minh,Đội Cấn,Kim Mã,59800,30498,24518,21528,38870,19824,15937,13993,30138,15313,12544,10426,ba dinh
giang van minh,Giảng Võ,Kim Mã,49450,26209,21264,18791,32143,17036,13821,12214,25251,13766,11200,9775,ba dinh
giang vo,Địa phận quận Ba Đình,Địa phận quận Ba Đình,85840,42062,33478,29186,55796,27340,21760,18971,39438,17952,14215,12160,ba dinh
hang bun,Đầu đường,Cuối đường,60480,30845,24797,21773,39312,20049,16118,14152,30145,15073,12454,10233,ba dinh
hang chao,Địa phận quận Ba Đình,Địa phận quận Ba Đình,54050,28106,22701,19999,35133,18269,14756,12999,27694,14599,11859,10163,ba dinh
hang than,Đầu đường,Cuối đường,73920,36960,29568,25872,48048,24024,19219,16817,34905,16144,13268,10987,ba dinh
hoang dieu,Đầu đường,Cuối đường,114240,54264,42840,37128,74256,35272,27846,24133,49184,22132,17214,14755,ba dinh
hoang hoa tham,Hùng Vương,Tam Đa,58000,29580,23780,20880,37700,19227,15457,13572,29579,15199,12406,10440,ba dinh
hoang hoa tham,Tam Đa,Đường Bưởi,45240,24430,19906,17644,29406,15879,12939,11468,23005,12899,10599,9448,ba dinh
hoang van thu,Đầu đường,Cuối đường,85100,41699,33189,28934,55315,27104,21573,18807,39098,17797,14092,12055,ba dinh
hoe nhai,Đầu đường,Cuối đường,54050,28106,22701,19999,35133,18269,14756,12999,27694,14599,11859,10163,ba dinh
hong ha,Địa phận quận Ba Đình,Địa phận quận Ba Đình,37510,20631,16880,15004,24382,13410,10972,9753,17998,10713,8999,8056,ba dinh
hong phuc,Địa phận quận Ba Đình,Địa phận quận Ba Đình,38280,21054,17226,15312,24882,13685,11197,9953,19719,11338,9408,8381,ba dinh
hung vuong,Đầu đường,Cuối đường,114240,54264,42840,37128,74256,35272,27846,24133,49184,22132,17214,14755,ba dinh
khuc hao,Đầu đường,Cuối đường,69000,34500,27600,24150,44850,22425,17940,15698,33396,16046,13195,11037,ba dinh
kim ma,Nguyễn Thái Học,Liễu Giai,83520,40925,32573,28397,54288,26601,21172,18458,38616,17583,14091,11996,ba dinh
kim ma,Liễu Giai,Cuối đường,69600,34800,27840,24360,45240,22620,18096,15834,33686,16185,13310,11133,ba dinh
kim ma thuong,Đầu đường,Cuối đường,46000,24380,19780,17480,29900,15847,12857,11362,23622,13115,10753,9530,ba dinh
la thanh,Địa phận quận Ba Đình,Địa phận quận Ba Đình,49450,26209,21264,18791,32143,17036,13821,12214,25251,13766,11200,9775,ba dinh
lac chinh,Đầu đường,Cuối đường,46000,24380,19780,17480,29900,15847,12857,11362,23622,13115,10753,9530,ba dinh
lang ha,Địa phận quận Ba Đình,Địa phận quận Ba Đình,81200,39788,31668,27608,52780,25862,20584,17945,37795,17171,13984,11750,ba dinh
le duan,Địa phận quận Ba Đình,Địa phận quận Ba Đình,89600,43456,34496,30016,58240,28246,22422,19510,40458,18206,14160,12137,ba dinh
le hong phong,Điện Biên Phủ,Hùng Vương,98560,47802,37946,33018,64064,31071,24665,21461,43631,19634,15271,13089,ba dinh
le hong phong,Hùng Vương,Đội Cấn,73920,36960,29568,25872,48048,24024,19219,16817,34905,16144,13268,10987,ba dinh
le truc,Đầu đường,Cuối đường,59800,30498,24518,21528,38870,19824,15937,13993,30138,15313,12544,10426,ba dinh
lieu giai,Đầu đường,Cuối đường,81200,39788,31668,27608,52780,25862,20584,17945,37795,17171,13984,11750,ba dinh
linh lang,Đầu đường,Cuối đường,46000,24380,19780,17480,29900,15847,12857,11362,23622,13115,10753,9530,ba dinh
ly van phuc,Đầu đường,Cuối đường,44850,24219,19734,17492,29153,15742,12827,11369,22807,12788,10508,9367,ba dinh
mac dinh chi,Đầu đường,Cuối đường,40250,21735,17710,15698,26163,14128,11512,10203,20363,11648,9612,8553,ba dinh
mai anh tuan,Địa phận quận Ba Đình,Địa phận quận Ba Đình,34800,19140,15660,13920,22620,12441,10179,9048,18076,10599,8874,7969,ba dinh
mai xuan thuong,Địa phận quận Ba Đình,Địa phận quận Ba Đình,60480,30845,24797,21773,39312,20049,16118,14152,30145,15073,12454,10233,ba dinh
nam cao,Đầu đường,Cuối đường,40250,21735,17710,15698,26163,14128,11512,10203,20363,11648,9612,8553,ba dinh
nam trang,Đầu đường,Cuối đường,48300,25599,20769,18354,31395,16639,13500,11930,24436,13440,10996,9652,ba dinh
nghia dung,Đầu đường,Cuối đường,34500,18975,15525,13800,22425,12334,10091,8970,17920,10508,8798,7901,ba dinh
ngo chau long,Cửa Bắc,Đặng Dung,31360,17562,14426,12858,20384,11415,9377,8357,15866,9520,8012,7218,ba dinh
ngo hang bun,Hàng Bún,Phan Huy ích,31360,17562,14426,12858,20384,11415,9377,8357,15866,9520,8012,7218,ba dinh
ngo hang dau,Hồng Phúc,Hàng Đậu,32200,18032,14812,13202,20930,11721,9628,8581,16291,9775,8227,7412,ba dinh
ngo nui truc,Núi Trúc,Giang Văn Minh,32200,18032,14812,13202,20930,11721,9628,8581,16291,9775,8227,7412,ba dinh
ngo truc lac,Phó Đức Chính,Trúc Bạch,34500,18975,15525,13800,22425,12334,10091,8970,17920,10508,8798,7901,ba dinh
ngoc ha,Sơn Tây,Bộ Nông nghiệp và Phát triển nông thôn,53360,27747,22411,19743,34684,18036,14567,12833,27114,14378,11667,10106,ba dinh
ngoc ha,Qua Bộ Nông nghiệp và Phát triển nông thôn,Hoàng Hoa Thám,46400,24592,19952,17632,30160,15985,12969,11461,23828,13229,10846,9613,ba dinh
ngoc khanh,Đầu đường,Cuối đường,69000,34500,27600,24150,44850,22425,17940,15698,33396,16046,13195,11037,ba dinh
ngu xa,Đầu đường,Cuối đường,37950,20873,17078,15180,24668,13567,11100,9867,19549,11240,9327,8309,ba dinh
nguyen bieu,Đầu đường,Cuối đường,60480,30845,24797,21773,39312,20049,16118,14152,30145,15073,12454,10233,ba dinh
nguyen canh chan,Đầu đường,Cuối đường,98560,47802,37946,33018,64064,31071,24665,21461,43631,19634,15271,13089,ba dinh
nguyen chi thanh,Địa phận quận Ba Đình,Địa phận quận Ba Đình,76560,38280,30624,26796,49764,24882,19906,17417,36151,16720,13741,11380,ba dinh
nguyen cong hoan,Đầu đường,Cuối đường,48300,25599,20769,18354,31395,16639,13500,11930,24436,13440,10996,9652,ba dinh
nguyen hong,Địa phận quận Đa Đình,Địa phận quận Đa Đình,40320,21773,17741,15725,26208,14152,11532,10221,20626,11741,9678,8607,ba dinh
nguyen khac hieu,Đầu đường,Cuối đường,46000,24380,19780,17480,29900,15847,12857,11362,23622,13115,10753,9530,ba dinh
nguyen khac nhu,Đầu đường,Cuối đường,46000,24380,19780,17480,29900,15847,12857,11362,23622,13115,10753,9530,ba dinh
nguyen pham tuan,Đầu đường,Cuối đường,25300,14421,11891,10626,16445,9374,7729,6907,12218,7942,6843,6109,ba dinh
nguyen thai hoc,Đầu đường,Cuối đường,106720,51226,40554,35218,69368,33297,26360,22891,46833,21075,16392,14050,ba dinh
nguyen thiep,Địa phận quận Ba Đình,Địa phận quận Ba Đình,49450,26209,21264,18791,32143,17036,13821,12214,25251,13766,11200,9775,ba dinh
nguyen tri phuong,Đầu đường,Cuối đường,62640,31946,25682,22550,40716,20765,16694,14658,31221,15611,12899,10599,ba dinh
nguyen trung truc,Đầu đường,Cuối đường,44850,24219,19734,17492,29153,15742,12827,11369,22807,12788,10508,9367,ba dinh
nguyen truong to,Đầu đường,Cuối đường,60480,30845,24797,21773,39312,20049,16118,14152,30145,15073,12454,10233,ba dinh
nguyen van ngoc,Đầu đường,Cuối đường,37950,20873,17078,15180,24668,13567,11100,9867,19549,11240,9327,8309,ba dinh
nui truc,Đầu đường,Cuối đường,56000,28560,22960,20160,36400,18564,14924,13104,28559,14675,11978,10080,ba dinh
ong ich khiem,Đầu đường,Cuối đường,59800,30498,24518,21528,38870,19824,15937,13993,30138,15313,12544,10426,ba dinh
pham hong thai,Đầu đường,Cuối đường,54050,28106,22701,19999,35133,18269,14756,12999,27694,14599,11859,10163,ba dinh
pham huy thong,Đầu đường,Cuối đường,60480,30845,24797,21773,39312,20049,16118,14152,30145,15073,12454,10233,ba dinh
phan dinh phung,Địa phận quận Ba Đình,Địa phận quận Ba Đình,132600,62985,49725,43095,86190,40940,32321,28012,57088,25689,19981,17126,ba dinh
phan huy ich,Đầu đường,Cuối đường,46000,24380,19780,17480,29900,15847,12857,11362,23622,13115,10753,9530,ba dinh
phan ke binh,Đầu đường,Cuối đường,48300,25599,20769,18354,31395,16639,13500,11930,24436,13440,10996,9652,ba dinh
duc chinh,Đầu đường,Cuối đường,57500,29325,23575,20700,37375,19061,15324,13455,29324,15068,12299,10304,ba dinh
phuc xa,Đầu đường,Cuối đường,34800,19140,15660,13920,22620,12441,10179,9048,18076,10599,8874,7969,ba dinh
quan ngua,Đầu đường,Cuối đường,48720,25822,20950,18514,31668,16784,13617,12034,24649,13557,11092,9736,ba dinh
quan thanh,Đầu đường,Cuối đường,97440,47258,37514,32642,63336,30718,24384,21218,43546,19596,15199,13064,ba dinh
son tay,Đầu đường,Cuối đường,58000,29580,23780,20880,37700,19227,15457,13572,29579,15199,12406,10394,ba dinh
tan ap,Đầu đường,Cuối đường,32480,18189,14941,13317,21112,11823,9712,8656,16433,9860,8299,7476,ba dinh
thanh bao,Đầu đường,Cuối đường,34800,19140,15660,13920,22620,12441,10179,9048,18076,10599,8874,7969,ba dinh
thanh cong,La Thành,Khu biệt thự Thành Công,45240,24430,19906,17644,29406,15879,12939,11468,23005,12899,10599,9448,ba dinh
thanh cong,Khu biệt thự Thành Công,Láng Hạ,46400,24592,19952,17632,30160,15985,12969,11461,23828,13229,10846,9613,ba dinh
thanh nien,Địa phận quận Ba Đình,Địa phận quận Ba Đình,78400,38416,30576,26656,50960,24970,19874,17326,36492,16579,13502,11344,ba dinh
ton that dam,Đầu đường,Cuối đường,73920,36960,29568,25872,48048,24024,19219,16817,34905,16144,13268,10987,ba dinh
ton that thiep,Đầu đường,Cuối đường,56000,28560,22960,20160,36400,18564,14924,13104,28559,14675,11978,10035,ba dinh
tran huy lieu,Giảng Võ,Hồ Giảng Võ,51520,26790,21638,19062,33488,17414,14065,12391,26179,13882,11265,9757,ba dinh
tran huy lieu,Hồ Giảng Võ,Kim Mã,44800,23744,19264,17024,29120,15434,12522,11066,23006,12772,10472,9281,ba dinh
tran phu,Phùng Hưng,Điện Biên Phủ,98560,47802,37946,33018,64064,31071,24665,21461,43631,19634,15271,13089,ba dinh
tran phu,Điện Biên Phủ,Cuối đường,120960,57456,45360,39312,78624,37346,29484,25553,49978,22490,17492,14993,ba dinh
tran te xuong,Đầu đường,Cuối đường,37950,20873,17078,15180,24668,13567,11100,9867,19549,11240,9327,8309,ba dinh
tran vu,Thanh Niên,Chợ Châu Long,69600,34800,27840,24360,45240,22620,18096,15834,33686,16185,13310,11133,ba dinh
tran vu,Chợ Châu Long,Cuối đường,54520,28350,22898,20172,35438,18428,14884,13112,27935,14726,11962,10251,ba dinh
truc bach,Đầu đường,Cuối đường,64960,33130,26634,23386,42224,21534,17312,15201,32044,16022,13009,10818,ba dinh
van bao,Đầu đường,Cuối đường,50600,26818,21758,19228,32890,17432,14143,12498,26065,14010,11322,9897,ba dinh
van cao,Đầu đường,Cuối đường,78880,39440,31552,27608,51272,25636,20509,17945,36974,16946,13863,11565,ba dinh
van phuc,Đầu đường,Cuối đường,50600,26818,21758,19228,32890,17432,14143,12498,26065,14010,11322,9897,ba dinh
vinh phuc,Đầu đường,Cuối đường,34500,18975,15525,13800,22425,12334,10091,8970,17920,10508,8798,7901,ba dinh
yen ninh,Đầu đường,Cuối đường,49450,26209,21264,18791,32143,17036,13821,12214,25251,13766,11200,9775,ba dinh
yen phu,Đầu đường,Cuối đường,60320,30763,24731,21715,39208,19996,16075,14115,30400,15447,12653,10517,ba dinh
yen the,Đầu đường,Cuối đường,41400,22356,18216,16146,26910,14531,11840,10495,21178,12055,9937,8838,ba dinh
ai mo,Đầu đường,Cuối đường,26680,15208,12540,11206,16542,9429,7775,6947,13146,8381,7230,6409,long bien
bac cau,Đầu đường,Cuối đường,10904,7415,6324,5779,6760,4597,3921,3583,5751,3968,3204,2761,long bien
bat khoi (mat de song hong),Nút giao thông đường Lâm Du – Cổ Linh – Hồng Tiến – Bát Khối,Phố Tư Đình,16704,10524,8909,8018,10356,6525,5523,4971,8216,5834,5258,4519,long bien
bat khoi (mat de song hong),Phố Tư Đình,chân cầu Thanh Trì,14152,9199,8018,7076,8774,5703,4971,4387,7395,5324,4733,4067,long bien
bo de,Nguyễn Văn Cừ,Ao di tích,26450,15077,12432,11109,16399,9347,7708,6888,13033,8309,7168,6354,long bien
bo de,Hết ao di tích,Qua UBND phường Bồ Đề đến đê sông Hồng,21850,12673,11040,9508,13547,7857,6845,5895,10589,7412,6516,5612,long bien
cau bay,Đầu đường,Cuối đường,18560,11322,9800,8538,11507,7019,6076,5293,9038,6409,5784,4971,long bien
cau thanh tri (duong gom cau),Cầu Thanh Trì,Quốc Lộ 5,13110,8653,7342,6686,8128,5365,4552,4145,6584,4692,4235,3585,long bien
chu huy man,Nguyễn Văn Linh,Đoàn Khuê,26450,15077,12432,11109,16399,9347,7708,6888,13033,8309,7168,6354,long bien
chu huy man,Đoàn Khuê,Cuối đường,24150,13766,11592,10350,14973,8535,7187,6417,11403,7697,6679,5929,long bien
co linh,Chân đê Sông Hồng,Thạch Bàn,22040,12783,11136,9591,13665,7926,6904,5946,10681,7476,6573,5661,long bien
nan,Thạch Đàn,nút giao Hà Nội Hải Phòng,16560,10433,8832,7949,10267,6468,5476,4928,8145,5783,5213,4480,long bien
dam quang trung,Đầu đường,Cuối đường,22040,12783,11136,9591,13665,7926,6904,5946,10681,7476,6573,5661,long bien
dang vu hy,Ngô Gia Tự,Đường tầu,21850,12673,11040,9508,13547,7857,6845,5895,10589,7412,6516,5612,long bien
dang vu hy,Đường tầu,Thanh Am,19780,11868,10419,8942,12264,7358,6460,5544,9775,6883,6150,5279,long bien
dang vu hy,Thanh Am,Đê sông Đuống,14030,9120,7949,7015,8699,5654,4928,4349,7331,5279,4692,4032,long bien
dao van tap,Đầu đường,Cuối đường,21000,11970,10080,9000,13020,7421,6250,5580,11550,6584,5544,4950,long bien
de song (duong nam duong),Cầu Đông Trù,Cầu Phù Đổng,10904,7415,6324,5779,6760,4597,3921,3583,5751,3968,3204,2761,long bien
de song hong (duong gom chan de),Cầu Long Biên,Chương Dương,16704,10524,8909,8018,10356,6525,5523,4971,8216,5834,5258,4519,long bien
de song hong (duong gom chan de),chân cầu Thanh Trì,Hết địa phận quận Long Biên,14152,9199,8018,7076,8774,5703,4971,4387,7395,5324,4733,4067,long bien
doan khue,Đầu đường,Cuối đường,24150,13766,11592,10350,14973,8535,7187,6417,11403,7697,6679,5929,long bien
dong dinh,Đầu đường,Cuối đường,13110,8653,7342,6686,8128,5365,4552,4145,6584,4692,4235,3585,long bien
duc giang,Ngô Gia Tự,Nhà máy hóa chất Đức Giang,26450,15077,12432,11109,16399,9347,7708,6888,13033,8309,7168,6354,long bien
duc giang,Nhà máy hóa chất Đức Giang,Đê sông Đuống,19780,11868,10419,8942,12264,7358,6460,5544,9775,6883,6150,5279,long bien
22m,Khu đảo Sen,Nút cầu Chui phường Gia Thụy,33350,18676,15341,13674,20677,11579,9511,8478,17105,10182,8553,7657,long bien
giua khu tap the diem va go,Cổng khu tập thể Diêm và Gỗ,Cuối đường,16704,10524,8909,8018,10356,6525,5523,4971,8216,5834,5258,4519,long bien
vao gia thuy,Nguyễn Văn Cừ,Di tích gò mộ tổ,24150,13766,11592,10350,14973,8535,7187,6417,11403,7697,6679,5929,long bien
vao gia thuy,Qua Di tích gò Mộ Tổ,Cuối đường,19780,11868,10419,8942,12264,7358,6460,5544,9775,6883,6150,5279,long bien
vao giang bien,Trạm y tế phường,"Ngã tư số nhà 86, 42",16704,10524,8909,8018,10356,6525,5523,4971,8216,5834,5258,4519,long bien
vao ngoc thuy - gia quat,Đê Sông Hồng,Ngõ Hải Quan,12528,8394,7141,6515,7767,5204,4427,4039,6573,4536,3739,3286,long bien
vao tinh quang,Đê sông Đuống,Tình Quang và lên đê,10904,7415,6324,5779,6760,4597,3921,3583,5751,3968,3204,2761,long bien
vao trung ha,Đê sông Hồng,Hết thôn Trung Hà,13110,8653,7342,6686,8128,5365,4552,4145,6584,4692,4235,3585,long bien
vao z 133 (ngo 99),Đức Giang,Z 133,19780,11868,10419,8942,12264,7358,6460,5544,9775,6883,6150,5279,long bien
gia quat,Số nhà 69 ngõ 481 Ngọc Lâm,Khu tập thể Trung học đường sắt,24150,13766,11592,10350,14973,8535,7187,6417,11403,7697,6679,5929,long bien
gia thuy,Nguyễn Văn Cừ – Long Biên,Đường 22m,25300,14421,11891,10626,15686,8941,7372,6588,12218,7942,6843,6109,long bien
hoa lam,Đầu đường,Cuối đường,25300,14421,11891,10626,15686,8941,7372,6588,12218,7942,6843,6109,long bien
hoang nhu tiep,Nguyễn Văn Cừ,Lâm Hạ,26450,15077,12432,11109,16399,9347,7708,6888,13033,8309,7168,6354,long bien
hoang the thien,Đầu đường,Cuối đường,17200,10320,9060,7776,10664,6398,5617,4821,9460,5676,4983,4277,long bien
hoi xa,Đầu đường,Cuối đường,24150,13766,11592,10350,14973,8535,7187,6417,11403,7697,6679,5929,long bien
hong tien,Đầu đường,Cuối đường,40600,21924,17864,15834,25172,13593,11076,9817,20540,11750,9695,8627,long bien
huynh tan phat,Ngã tư phố Sài Đồng – Nguyễn Văn Linh,Cổ Linh,19952,11971,10510,9020,12370,7422,6516,5592,9860,6943,6204,5324,long bien
huynh van nghe,449 Nguyễn Văn Linh,Khu đô thị mới Sài Đồng,19952,11971,10510,9020,12370,7422,6516,5592,9860,6943,6204,5324,long bien
ke tanh,Đê Sông Đuống,Mai Chí Thọ,16704,10524,8909,8018,10356,6525,5523,4971,8216,5834,5258,4519,long bien
kim quan,Đầu đường,Cuối đường,19780,11868,10419,8942,12264,7358,6460,5544,9775,6883,6150,5279,long bien
kim quan thuong,Đầu đường,Cuối đường,19780,11868,10419,8942,12264,7358,6460,5544,9775,6883,6150,5279,long bien
lam du,Đầu đường,Cuối đường,16704,10524,8909,8018,10356,6525,5523,4971,8216,5834,5258,4519,long bien
lam ha,Đầu đường,Cuối đường,33350,18676,15341,13674,20677,11579,9511,8478,17105,10182,8553,7657,long bien
le mat,Ô Cách,Việt Hưng,25300,14421,11891,10626,15686,8941,7372,6588,12218,7942,6843,6109,long bien
long bien 1c,Cầu Long Biên,Ngọc Lâm,26450,15077,12432,11109,16399,9347,7708,6888,13033,8309,7168,6354,long bien
long bien 2,Đê Sông Hồng,Ngọc Lâm,26450,15077,12432,11109,16399,9347,7708,6888,13033,8309,7168,6354,long bien
luu khanh dam,Đầu đường,Cuối đường,26680,15208,12540,11206,16542,9429,7775,6947,13146,8381,7230,6409,long bien
ly son,Đầu đường,Cuối đường,19780,11868,10419,8942,12264,7358,6460,5544,9775,6883,6150,5279,long bien
mai chi tho,Đầu đường,Cuối đường,21000,11970,10080,9000,13020,7421,6250,5580,11550,6584,5544,4950,long bien
mai phuc,Nguyễn Văn Linh,Cuối đường,18400,11224,9715,8464,11408,6959,6023,5248,8960,6354,5734,4928,long bien
ngo 200 nguyen son,Lâm Hạ,Hoàng Như Tiếp,33350,18676,15341,13674,20677,11579,9511,8478,17105,10182,8553,7657,long bien
ngo gia kham,Nguyễn Văn Cừ,Ngọc Lâm,29900,16744,13754,12259,18538,10381,8527,7601,15477,9448,7901,7168,long bien
ngo gia tu,Đầu đường,Cuối đường,35000,18900,15400,13650,21700,11718,9548,8463,17707,10129,8358,7437,long bien
ngoc lam,Đê sông Hồng,Long Biên 2,29900,16744,13754,12259,18538,10381,8527,7601,15477,9448,7901,7168,long bien
ngoc lam,Hết Long Biên 2,Nguyễn Văn Cừ,33350,18676,15341,13674,20677,11579,9511,8478,17105,10182,8553,7657,long bien
ngoc thuy (mat de va gom chan de),Cầu Long Biên,Đường vào Bắc Cầu,13224,8728,7405,6744,8199,5411,4591,4181,6641,4733,4272,3616,long bien
ngoc thuy (mat de va gom chan de),Qua đường vào Bắc Cầu,Cầu Đông Trù,10904,7415,6324,5779,6760,4597,3921,3583,5751,3968,3204,2761,long bien
ngoc tri,Thạch Bàn,Đường vào khu tái định cư Him Lam Thạch Bàn,13224,8728,7405,6744,8199,5411,4591,4181,6641,4733,4272,3616,long bien
ngoc tri,nút giao đường Cổ Linh với phố Ngọc Trì,Cuối đường,13110,8653,7342,6686,8128,5365,4552,4145,6584,4692,4235,3585,long bien
nguyen cao luyen,Đầu Đường,Cuối đường,26680,15208,12540,11206,16542,9429,7775,6947,13146,8381,7230,6409,long bien
nguyen lam,Đầu đường,Cuối đường,19000,11020,9600,8268,11780,6832,5952,5126,10450,6061,5280,4547,long bien
nguyen son,Ngọc Lâm,Sân bay Gia Lâm,33640,18838,15474,13792,20857,11680,9594,8551,17254,10271,8627,7723,long bien
nguyen van cu,Cầu Chương Dương,Cầu Chui,40600,21924,17864,15834,25172,13593,11076,9817,20540,11750,9695,8627,long bien
nguyen van huong,Đầu đường,Cuối đường,16704,10524,8909,8018,10356,6525,5523,4971,8216,5834,5258,4519,long bien
nguyen van linh,Nút giao thông Cầu Chui,Cầu Bây,26680,15208,12540,11206,16542,9429,7775,6947,13146,8381,7230,6409,long bien
nguyen van linh,Cầu Bây,Hết địa phận quận Long Biên,25520,14546,11994,10718,15822,9019,7437,6645,12324,8011,6902,6162,long bien
o cach,Ngô Gia Tự,Cuối đường,25300,14421,11891,10626,15686,8941,7372,6588,12218,7942,6843,6109,long bien
phan van dang,Đầu đường,Cuối đường,18400,11224,9715,8464,11408,6959,6023,5248,8960,6354,5734,4928,long bien
phu vien,Đầu dốc Đền Ghềnh,Công ty Phú Hải,12528,8394,7141,6515,7767,5204,4427,4039,6573,4536,3739,3286,long bien
phuc loi,Đầu đường,Cuối đường,26680,15208,12540,11206,16542,9429,7775,6947,13146,8381,7230,6409,long bien
sai dong,Nguyễn Văn Linh,C.ty nhựa Tú Phương,22040,12783,11136,9591,13665,7926,6904,5946,10681,7476,6573,5661,long bien
sai dong,C.ty nhựa Tú Phương,Trần Danh Tuyên,24150,13766,11592,10350,14973,8535,7187,6417,11403,7697,6679,5929,long bien
tan thuy,Nguyễn Văn Linh,Cánh đồng Mai Phúc,18400,11224,9715,8464,11408,6959,6023,5248,8960,6354,5734,4928,long bien
thach ban,Nguyễn Văn Linh,nút giao với đường Cổ Linh,21000,11970,10080,9000,13020,7421,6250,5580,11550,6584,5544,4950,long bien
thach ban,nút giao với đường Cổ Linh,Đê sông Hồng,14152,9199,8018,7076,8774,5703,4971,4387,7395,5324,4733,4067,long bien
thach cau,Đầu đường,Cuối đường,14030,9120,7949,7015,8699,5654,4928,4349,7331,5279,4692,4032,long bien
thanh am,Đê sông Đuống,Khu tái định cư Xóm Lò,16560,10433,8832,7949,10267,6468,5476,4928,8145,5783,5213,4480,long bien
thep moi,Đầu đường,Cuối đường,18400,11224,9715,8464,11408,6959,6023,5248,8960,6354,5734,4928,long bien
thuong thanh,Ngô Gia Tự,Trường mầm non Thượng Thanh,21850,12673,11040,9508,13547,7857,6845,5895,10589,7412,6516,5612,long bien
tram,Đầu đường,Cuối đường,16704,10524,8909,8018,10356,6525,5523,4971,8216,5834,5258,4519,long bien
tran danh tuyen,Đầu đường,Cuối đường,24150,13766,11592,10350,14973,8535,7187,6417,11403,7697,6679,5929,long bien
truong lam,Đầu đường,Cuối đường,24150,13766,11592,10350,14973,8535,7187,6417,11403,7697,6679,5929,long bien
tu dinh,Đê Sông Hồng,Đơn vị A45,12528,8394,7141,6515,7767,5204,4427,4039,6573,4536,3739,3286,long bien
van hanh,UBND Quận Long Biên,Cuối đường,26450,15077,12432,11109,16399,9347,7708,6888,13033,8309,7168,6354,long bien
viet hung,Nguyễn Văn Linh,Đoàn Khuê,25300,14421,11891,10626,15686,8941,7372,6588,12218,7942,6843,6109,long bien
vu duc than,Đầu đường,Cuối đường,25300,14421,11891,10626,15686,8941,7372,6588,12218,7942,6843,6109,long bien
vu xuan thieu,Nguyễn Văn Linh,Cống Hàm Rồng,19952,11971,10510,9020,12370,7422,6516,5592,9860,6943,6204,5324,long bien
